timeindex,flag,currentBack,motorTempBack,positionBack,refPositionBack,refVelocityBack,trackingDeviationBack,velocityBack,currentFront,motorTempFront,positionFront,refPositionFront,refVelocityFront,trackingDeviationFront,velocityFront
1,1,30,46,576.4993771,581.4999968,7,7.000622886,10,16,46,970.4999069,971.4999968,10,8.000124577,5
2,1,101,42,576.499211,576.4999992,9,8.000747463,7,66,42,969.4994501,969.4999992,5,10.00053983,10
3,1,815,41,355.5767922,363.3687778,584.0458363,4.994663947,587.0206593,726,38,741.5234116,742.3613613,590.8073484,4.987812206,593.4153857
4,1,219,40,577.4995847,578.4999984,7,6.000332206,8.041525705,207,39,972.4995747,971.4999984,5,7.000456783,6.031144278
5,1,76,40,4.998795755,9.00E+00,6,7.001245771,6,-13,43,398.9990764,398,6,5.000913565,8
6,1,49,39,577.4995847,581.4999992,7,6.000415257,8,217,44,972.4989103,973.4999992,9,8.001121194,9
7,1,79,42,579.5000415,577.4999984,6,5.00E+00,8,246.5,45,969.5018171,970.4999984,10,6.998214395,8
8,1,66,36,9.00E+00,8.00E+00,7,1.00E+01,9.020762852,457.5,38,398.0023362,398,5,7.997695323,10
9,1,7,36,578.4995847,577.4999976,10,7.000415257,7,53,40,969.4991179,971.4999976,9,5.000913565,10
10,1,109,42,580.4995847,578.4999992,6,9.000415257,7,132.5,41,970.4996578,973.4999992,5,8.000332206,8
11,1,200,42,9.000124577,7.00E+00,6,6.00E+00,6,25.5,41,398.9994917,402,6,10.00049831,6
12,1,137,44,576.4999585,577.4999968,10,6.00E+00,8,179,43,969.4996162,969.4999968,9,9.000373731,7
13,1,148,42,576.4992525,580.4999976,9,7.000705937,8,106.5,46,968.4994917,972.4999976,5,8.000498308,6
14,1,381,40,357.565082,361.3687778,44.64546098,6.988518143,63.69973428,450.5,46,570.7466936,575.1240179,26.395366,5.982974461,42.43519047
15,1,89,42,579.4999169,576.4999984,5,5.00E+00,6.103814261,72,45,865.2999121,870.6848268,11.40133639,9.000373731,10.05190713
16,0,20,38,579.4999585,576.4999968,7,7,8,120,43,971.4996578,968.4999968,9,9.000373731,8
17,0,130,41,578.5004153,578.4999984,8,9.992483847,8.072669983,378,42,971.5010696,968.4999984,7,8.981313433,9.041525705
18,0,-5,41,8.00E+00,7.00E+00,5,5.00E+00,5.041525705,270.5,45,401.9994086,398,7,9.000602123,9
19,0,-16,41,8.999875423,6.00E+00,9,1.00E+01,7.979237148,28,40,400.9995747,400,5,5.000415257,9
20,0,-3,41,7.007474627,6.00E+00,8,8.992525373,7.041525705,15.5,41,399.011721,397,5,5.99279529,7.010381426
21,0,580.5,39,383.9372484,389.7702931,584.0458363,9.00E+00,589.0414222,747,45,758.0862138,767.8696545,594.1174417,9.000415257,593.322185
22,0,-29,33,577.5,581.4999968,5,7,8,128,35,969.499284,973.4999968,8,5.000747463,6
23,0,-2,37,578.4999585,580.4999984,9,7,5,142,35,969.4994501,972.4999984,7,9.00058136,8
24,0,-30,37,1.00E+01,5.00E+00,6,10,10.02076285,95,34,400.9998239,401,5,10.00020763,6
25,0,0.5,39,580.5002284,576.4999992,10,4.993854196,8.041525705,445,36,971.5166418,971.4999992,6,4.98027529,7
26,0,12,38,580.5000415,581.4999992,9,8.00E+00,8,120.5,37,968.4995955,969.4999992,9,5.000394494,6
27,1,42,44,5.999750846,1.00E+01,8,7.00029068,10,97,43,398.9994501,402,6,6.00058136,5
28,1,21,46,576.4981313,578.4999968,9,9.001868657,6,-76,46,970.5014018,973.4999968,5,8.998588126,5
29,1,646,47,374.065471,383.8458538,592.4789486,5.999833897,588.8547886,1051.5,42,769.935505,773.72667,591.8073484,7.000394494,588.4151535
30,1,90,46,9.00E+00,9.00E+00,7,10.00012458,9,356.5,47,402.0022739,401,7,5.997716086,7
31,1,-17,46,6.999833897,8.00E+00,9,6.000207629,5,153,48,401.999284,399,8,9.000705937,7.979237148
32,1,95,43,581.4996263,578.4999984,6,6.000373731,7,153,45,969.4994501,968.4999984,8,8.000539834,10
33,0,-26,37,580.5,580.4999976,8,6,7.979237148,110,39,968.4999069,970.4999976,8,7.00E+00,6
34,0,237.5,37,353.5838723,359.3687778,528.0529829,6.985818972,540.52925,615,39,745.4619208,753.2470766,533.1941581,9.973838806,544.0070278
35,1,71.5,47,576.4994186,580.4999992,9,6.00058136,6,50,49,970.499201,968.4999992,5,6.000788988,8
36,1,-37,44,578.4992525,579.4999992,7,7.000705937,10,2,49,969.4989518,973.4999992,5,6.001038143,9
37,0,-7,30,579.5,577.4999992,5,5.00E+00,8,160,34,973.4995747,969.4999992,5,10.00041526,5
38,0,-26,38,9.00E+00,6.00E+00,6,9.00E+00,6,63,39,401.9996993,398,8,7.00029068,10
39,0,410,35,377.0599481,383.8458568,572.1682104,5,573.6529977,440.5,33,767.9146799,773.7266687,574.5080227,5.000249154,578.9852033
40,0,609,43,378.0625227,378.8458563,587.4767587,6,588.2077571,566,43,766.9124167,772.7266704,591.805929,6.00029068,591.6507754
41,0,-19,46,7.999543217,7.00E+00,5,9.000415257,9,21,42,400.9991179,399,7,7.000913565,7
42,0,-5,44,581.4999585,581.4999984,5,8.00E+00,5,239,43,969.4994501,968.4999984,5,6.00058136,9.020762852
43,0,246.5,42,499.3306825,504.0132773,564.0858292,9.985258375,567.7493493,467.5,44,881.2882854,885.102188,550.0890197,5.979424013,560.9147557
44,0,21,43,581.4995847,579.4999976,9,6.000373731,5,89,48,972.4992425,970.4999976,5,8.000747463,7
45,0,-6,44,577.4999585,581.4999984,10,6,8.979237148,75,44,973.499637,968.4999984,9,10.00035297,6
46,0,63,46,578.4997093,579.4999992,5,6.000249154,8,202,49,968.4995747,973.4999992,10,9.000415257,5
47,0,-12,40,581.4999169,580.4999992,7,9.00E+00,6,56,43,972.4994501,970.4999992,5,9.00058136,5
48,0,9,41,577.5,579.4999976,5,5,6.020762852,140,44,972.4997408,969.4999976,7,6.00029068,9.020762852
49,0,69,41,579.4998339,577.4999968,7,10.00014534,5,227,44,971.4995747,971.4999968,9,8.000456783,10.02076285
50,0,136,43,377.0685439,383.845853,319.6034415,7.00E+00,258.6766815,168.5,47,766.9286325,770.7266701,311.5698804,5.000124577,242.2846418
51,0,215,41,564.502138,566.7774287,274.4670395,4.987687629,294.4443098,557.5,47,952.2976089,951.8477494,247.6246751,7.981811741,267.6916068
52,0,-20,40,581.4999585,580.4999976,6,7,8.979237148,226,42,972.4994086,970.4999976,5,10.00058136,5
53,0,9,45,9.00E+00,8.00E+00,8,5.00E+00,5,114,45,398.9997408,402,7,10.00024915,5
54,0,-20,42,578.4996263,579.4999968,10,9.000373731,8.979237148,1,44,970.4991179,971.4999968,6,5.00087204,9
55,0,0,45,580.4995847,576.4999992,7,10.00041526,6,82,45,970.4993256,968.4999992,8,6.000664411,5
56,0,262,42,521.8506779,526.8914946,484.1703935,8.988621957,500.283844,366,45,902.6059614,909.0086014,489.6398813,4.980026136,506.3707428
57,0,6,43,5.999875423,7.00E+00,7,5.000124577,7,51,46,398.9995332,400,10,10.00045678,9
58,0,261.5,42,527.8403808,530.847458,483.2719247,5.98617194,498.5465306,326.5,42,911.8251844,917.0493818,464.586632,6.982060896,477.5209917
59,0,-12,44,580.4995432,576.4999984,8,7.000456783,9.979237148,20.5,44,972.4994086,969.4999984,5,5.000622886,6
60,0,20,40,577.5000415,577.4999968,7,1.00E+01,10,113,40,969.4995747,972.4999968,5,6.000456783,8
61,0,276,42,512.5440371,518.9317912,529.0567542,7.984946932,543.4669615,574.5,45,895.9335697,902.5020911,513.9198989,4.977804511,527.1128322
62,0,16,44,576.4999585,579.4999976,10,8.00E+00,7,77,45,971.4998239,969.4999976,7,6.000207629,9
63,0,30,47,576.4997093,578.4999992,6,6.00029068,5,148,49,972.4993671,969.4999992,8,8.000622886,9
64,0,-14,44,6.00E+00,5.00E+00,6,9.00E+00,10,76,45,401.9996993,399,10,8.00029068,6
65,0,-9,46,577.4995432,576.4999968,7,6.000456783,10,5,44,973.4995332,969.4999968,5,10.00045678,8
66,1,33,47,576.4995847,578.4999976,6,7.000415257,9,111,47,970.4994501,971.4999976,10,8.000539834,5.020762852
